date,ticker,headline,source
2024-01-01,AAPL,Company reports strong quarterly earnings beating expectations,MockNews
2024-01-02,AAPL,Stock falls as inflation concerns rise in global markets,MockNews
2024-01-03,AAPL,Central bank signals pause in interest rate hikes,MockNews
2024-01-04,AAPL,Regulatory scrutiny increases on major tech firms,MockNews
2024-01-05,AAPL,New product launch expected to boost future revenue,MockNews
2024-01-06,AAPL,Geopolitical tensions create uncertainty in equity markets,MockNews
2024-01-07,AAPL,Analysts upgrade stock rating to buy,MockNews
2024-01-08,AAPL,Supply chain disruptions impact manufacturing output,MockNews
2024-01-09,AAPL,Company announces strategic partnership for expansion,MockNews
2024-01-10,AAPL,Market reacts cautiously ahead of earnings announcement,MockNews
